open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_volume,taker_buy_quote_volume,ema_20,ema_50,ema_200,rsi_14,rsi_7,macd,macd_signal,macd_hist,bb_upper,bb_middle,bb_lower,bb_width,bb_position,atr_14,volume_sma_20,volume_ratio,price_change_1h,price_change_4h,price_change_24h
2026-02-24 01:00:00,1867.95,1867.99,1811.81,1840.95,40396.0586,2026-02-24 01:59:59.999,74274231.523699,540752,19238.4119,35371560.967156,1840.95,1840.95,1840.95,,,0.0,0.0,0.0,,,,,,,,,,,
2026-02-24 02:00:00,1840.95,1854.46,1837.15,1843.54,12161.91,2026-02-24 02:59:59.999,22437698.633335,230339,6495.8605,11985652.585288,1841.1966666666667,1841.051568627451,1840.9757711442787,,,0.20660968660968138,0.04132193732193628,0.1652877492877451,,,,,,,,,0.1406882316195457,,
2026-02-24 03:00:00,1843.54,1843.54,1823.24,1832.03,18172.7946,2026-02-24 03:59:59.999,33304053.247164,352523,8492.3249,15562072.248288,1840.3236507936508,1840.6977816224528,1840.8867584960772,,,-0.5520477918198594,-0.07735200850642286,-0.47469578331343654,,,,,,,,,-0.624342297970204,,
2026-02-24 04:00:00,1832.03,1833.82,1813.77,1830.81,19146.1198,2026-02-24 04:59:59.999,34956379.127784,316034,10140.6414,18520177.629795,1839.4175888133032,1840.3100254803958,1840.786492242385,,,-1.2374683485174955,-0.3093752765086374,-0.9280930720088582,,,,,,,,,-0.06659279596950007,,
2026-02-24 05:00:00,1830.8,1840.79,1814.01,1826.26,22890.475,2026-02-24 05:59:59.999,41792524.476894,283879,12090.4333,22077661.011741,1838.164485116798,1839.7590440890076,1840.641950031018,,,-2.1233395157476025,-0.6721681243564305,-1.451171391391172,,,,,,,,,-0.2485238774094456,-0.7979575762513957,
2026-02-24 06:00:00,1826.25,1831.35,1817.99,1820.86,12662.403,2026-02-24 06:59:59.999,23119479.160479,200304,5472.225,9993854.443937,1836.516438915198,1839.017905105125,1840.4451147073264,,,-3.223969752001949,-1.1825284498855342,-2.041441302116415,,,,,,,,,-0.29568626592052505,-1.2302418173731011,
2026-02-24 07:00:00,1820.87,1831.89,1815.23,1825.7,18837.2692,2026-02-24 07:59:59.999,34383688.919915,235085,8939.4842,16318092.614785,1835.4863018756553,1838.4956343166887,1840.2983971480496,,24.676187313185096,-3.6634496265373855,-1.6787126852159044,-1.984736941321481,,,,,,,,,0.2658084641323333,-0.3455183594155087,
2026-02-24 08:00:00,1825.7,1836.18,1818.52,1831.57,15506.6159,2026-02-24 08:59:59.999,28363300.60965,191593,6353.0786,11616677.982331,1835.1133207446403,1838.2240408140733,1840.2115474251834,,36.964980544746936,-3.4977606436061706,-2.042522276893958,-1.4552383667122126,,,,,,,,,0.32152051268006243,0.04151168062223043,
2026-02-24 09:00:00,1831.56,1834.69,1815.22,1827.14,15818.8683,2026-02-24 09:59:59.999,28853600.023417,236927,7156.4915,13054437.717992,1834.3539568641984,1837.7893725468548,1840.0814822766743,,28.318350079323253,-3.68147713112603,-2.3703132477403726,-1.3111638833856576,,,,,,,,,-0.24186899763589675,0.04818591000186334,
2026-02-24 10:00:00,1827.15,1829.68,1820.57,1825.88,13127.0018,2026-02-24 10:59:59.999,23962407.525572,166990,5447.2267,9943668.739791,1833.5469133533225,1837.322338329331,1839.9401739953144,,38.84657236126247,-3.8839732152953275,-2.673045241251364,-1.2109279740439636,,,,,,,,,-0.06896023293234688,0.275693902881069,
2026-02-24 11:00:00,1825.88,1827.36,1818.08,1826.75,19078.3384,2026-02-24 11:59:59.999,34775155.402596,150446,6082.2319,11086431.424464,1832.8995882720535,1836.9077368262201,1839.8089284829234,,42.54224834680386,-3.9289604810658147,-2.924228289214254,-1.0047321918515606,,,,,,,,,0.047648257278676276,0.05751218710632333,
2026-02-24 12:00:00,1826.75,1830.29,1821.07,1823.92,11156.188,2026-02-24 12:59:59.999,20366859.240711,155852,5341.533,9753767.021372,1832.0443893890008,1836.3984138134272,1839.6508296920485,,45.41176470588247,-4.1451874217000295,-3.168420115711409,-0.9767673059886204,,,,,,,,,-0.15491993978375973,-0.41767445415681337,
2026-02-24 13:00:00,1823.92,1827.5,1800.0,1815.73,27668.2331,2026-02-24 13:59:59.999,50157720.733332,380836,11187.4903,20289407.153291,1830.4906380186198,1835.5878877815283,1839.4128114861576,,40.93319194061518,-4.920690723658936,-3.5188742373009148,-1.4018164863580211,,,,,,,,,-0.44903285231808754,-0.6244732204428782,
