open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_volume,taker_buy_quote_volume,ema_12,ema_26,ema_50,ema_200,sma_20,sma_50,rsi_14,rsi_7,macd,macd_signal,macd_histogram,bb_upper,bb_middle,bb_lower,atr_14,volume_sma_20
2025-10-22 04:00:00,3859.58,3884.34,3838.31,3868.72,51818.2304,2025-10-22 07:59:59.999,200013585.296658,650882,26056.8432,100591673.874652,3868.72,3868.72,3868.72,3868.72,,,,,0.0,0.0,0.0,,,,,
2025-10-22 08:00:00,3868.72,3868.91,3770.02,3829.0,84899.402,2025-10-22 11:59:59.999,324949148.320875,1032783,39297.8926,150391392.955927,3862.6092307692306,3865.7777777777774,3867.1623529411763,3868.3247761194034,,,,,-3.1685470085467387,-0.6337094017093478,-2.534837606837391,,,,,
2025-10-22 12:00:00,3829.01,3876.92,3780.32,3841.76,179714.8431,2025-10-22 15:59:59.999,688852973.153909,1975980,76285.8056,292418597.801433,3859.4016568047336,3863.998683127572,3866.166182237601,3868.0604499888623,,,,,-4.597026322838246,-1.4263727859351276,-3.170653536903119,,,,,
2025-10-22 16:00:00,3841.76,3861.9,3784.0,3804.0,115522.1619,2025-10-22 19:59:59.999,441512240.75620097,1370696,47416.0999,181257897.137022,3850.878324988621,3859.5543362292333,3863.728292738087,3867.4230325760377,,,,,-8.676011240612297,-2.876300476870562,-5.799710763741736,,,,,
2025-10-22 20:00:00,3804.0,3816.5,3710.0,3805.53,87361.3349,2025-10-22 23:59:59.999,328806499.724632,947048,39694.6364,149369454.695161,3843.9016596057563,3855.5525335455864,3861.446006748358,3866.8071815056296,,,,,-11.650873939830035,-4.631215169462457,-7.019658770367578,,,,,
2025-10-23 00:00:00,3805.53,3835.93,3796.54,3826.79,34230.4223,2025-10-23 03:59:59.999,130768614.31283,483260,15785.3793,60312371.491919,3841.2690965894863,3853.4219755051727,3860.086947660187,3866.409000595126,,,,,-12.152878915686415,-6.135547918707249,-6.017330996979166,,,,,
2025-10-23 04:00:00,3826.8,3897.0,3822.76,3881.01,59576.8113,2025-10-23 07:59:59.999,230309112.502413,515773,30455.8105,117721498.752607,3847.3830817295657,3855.46553287516,3860.9074595166503,3866.554284171294,,,,53.67414050822134,-8.082451145594405,-6.52492856408468,-1.5575225815097244,,,,,
2025-10-23 08:00:00,3881.02,3905.22,3859.0,3863.06,58633.7555,2025-10-23 11:59:59.999,227837955.567343,577261,30915.1239,120169568.852749,3849.7949153096324,3856.0280859955187,3860.9918728689386,3866.519515174565,,,,48.471922246220345,-6.233170685886307,-6.466576988445007,0.23340630255869943,,,,,
2025-10-23 12:00:00,3863.06,3887.35,3808.01,3876.94,185281.3843,2025-10-23 15:59:59.999,712652655.667477,1320934,73932.8904,284566235.624881,3853.9710821850736,3857.5771166625173,3861.6172896191765,3866.6232015907385,,,,65.04141566265054,-3.6060344774437,-5.894468486244746,2.2884340088010457,,,,,
2025-10-23 16:00:00,3876.95,3934.86,3845.0,3859.4,101157.9811,2025-10-23 19:59:59.999,393489679.742301,879471,43274.997,168383321.470747,3854.8063003104467,3857.712145057886,3861.5303370850916,3866.5513289380942,,,,55.3734616790544,-2.9058447474394598,-5.296743738483689,2.390898991044229,,,,,
2025-10-23 20:00:00,3859.4,3860.1,3818.72,3856.8,38350.6636,2025-10-23 23:59:59.999,147380979.214502,429729,16143.7728,62027075.81403,3855.113023339609,3857.644578757302,3861.3448336699903,3866.4543007894567,,,,70.4682896573112,-2.5315554176931983,-4.7437060743255905,2.2121506566323923,,,,,
2025-10-24 00:00:00,3856.8,3896.0,3845.86,3891.0,35863.7739,2025-10-24 03:59:59.999,138947725.453407,541738,17688.6949,68555547.441807,3860.6340966719767,3860.1153507012054,3862.5077813692064,3866.6985366024974,,,,76.43674605629438,0.518745970771306,-3.6912156653062116,4.209961636077518,,,,,
2025-10-24 04:00:00,3891.0,3989.2,3886.21,3949.22,86681.3532,2025-10-24 07:59:59.999,342984382.058812,767383,47466.8191,187750010.703197,3874.2626971839804,3866.7156950937087,3865.9082605311987,3867.51964569103,,,,80.82171089069024,7.54700209027169,-1.4435721141906313,8.990574204462321,,,,,
2025-10-24 08:00:00,3949.22,3969.81,3925.83,3946.57,58504.1386,2025-10-24 11:59:59.999,231122729.056335,661915,30029.6633,118642416.758281,3885.3868976172143,3872.630828790471,3869.0714660005638,3868.3062163806712,,,62.38505838556753,72.29325353645272,12.756068826743558,1.3963560739962066,11.35971275274735,,,,70.96142857142851,
2025-10-24 12:00:00,3946.58,4026.39,3871.32,3888.92,164441.3184,2025-10-24 15:59:59.999,648558762.955438,1477804,80263.9267,316784580.779291,3885.9304518299505,3873.837434065251,3869.8498398828947,3868.5113286554906,,,52.71549174598057,56.92406554567854,12.093017764699653,3.535688412136896,8.557329352562757,,,,78.7499999999999,
2025-10-24 16:00:00,3888.92,3937.9,3866.43,3926.53,56593.0677,2025-10-24 19:59:59.999,220609858.500959,576294,29786.3134,116164167.584238,3892.176536163804,3877.7405870974544,3872.072591260036,3869.0886288678744,,,63.185788064786536,61.78077635767575,14.435949066349622,5.715740542979441,8.72020852337018,,,,76.7914285714285,
2025-10-24 20:00:00,3926.53,3945.23,3924.38,3934.88,23843.2865,2025-10-24 23:59:59.999,93813792.075263,266571,12519.4201,49258493.294345,3898.746299830911,3881.9731362013467,3874.5356268968976,3869.743269376652,,,62.74150292813747,68.75000000000007,16.77316362956435,7.927225160296423,8.845938469267928,,,,71.38071428571422,
2025-10-25 00:00:00,3934.88,3939.29,3912.4,3921.2,22578.8468,2025-10-25 03:59:59.999,88667216.973484,255005,10392.8747,40817406.662834,3902.20071524154,3884.878829816062,3876.365602312706,3870.255276646536,,,67.16763344465926,65.16293087210391,17.32188542547783,9.806157213332705,7.515728212145126,,,,67.73714285714277,
2025-10-25 04:00:00,3921.21,3960.57,3920.46,3928.92,29435.1292,2025-10-25 07:59:59.999,115758115.709774,258533,12295.9761,48375546.378211,3906.311374435149,3888.141138718576,3878.4265590847567,3870.839005237118,,,67.75242425114376,60.20012911555843,18.17023571657319,11.478972913980803,6.6912628025923855,,,,62.994999999999926,
2025-10-25 08:00:00,3928.93,3956.59,3927.7,3940.31,20459.0984,2025-10-25 11:59:59.999,80684513.739437,288448,10601.2715,41809192.360048,3911.5419322143566,3892.005498813496,3880.853360689276,3871.5302589163507,3882.028,,66.80980868329087,46.796116504854425,19.53643340086046,13.090465011356734,6.445968389503726,3975.8919666527545,3882.028,3788.164033347245,62.244999999999955,74747.35015500001
2025-10-25 12:00:00,3940.32,3956.41,3924.2,3932.71,24666.1248,2025-10-25 15:59:59.999,97180844.007351,260133,12791.6039,50391771.794506,3914.7985580275326,3895.0206470495336,3882.886954387736,3872.139012558974,3885.2275,,58.88194062671795,45.18749999999997,19.777910977999,14.42795420468519,5.34995677331381,3981.512642729947,3885.2275,3788.942357270053,59.24285714285712,73389.744875
2025-10-25 16:00:00,3932.72,3969.22,3927.74,3957.43,26582.6106,2025-10-25 19:59:59.999,104920301.977871,220136,15125.3644,59690287.130973,3921.357241407912,3899.6435620829016,3885.810211078413,3872.987679100676,3891.649,,65.84399449313321,80.84091113712059,21.713679325010617,15.885099228750274,5.8285800962603425,3989.2662896463257,3891.649,3794.031710353674,58.904285714285706,70473.905305
2025-10-25 20:00:00,3957.44,3964.76,3935.82,3953.82,14804.524,2025-10-25 23:59:59.999,58511027.268058,193892,6460.1887,25532983.564089,3926.3515119605413,3903.656631558242,3888.4772616243577,3873.791980801167,3897.2520000000004,,63.36857480698344,67.70468405345794,22.694880402299077,17.247055463460036,5.447824938839041,3995.6730515778213,3897.2520000000004,3798.8309484221795,55.30428571428573,62228.38935
2025-10-26 00:00:00,3953.81,3961.87,3919.03,3931.82,29409.5093,2025-10-26 03:59:59.999,115884709.977059,320527,15322.6226,60405278.11482,3927.1928178127655,3905.7428069983725,3890.176976854775,3874.3693740270264,3903.643,,62.4006849315069,48.313492063492085,21.450010814392954,18.08764653364662,3.362364280746334,3992.7248129232003,3903.643,3814.5611870768,51.94571428571427,57922.75671999999
2025-10-26 04:00:00,3931.82,3956.59,3928.83,3951.57,15902.0218,2025-10-26 07:59:59.999,62703973.083545,137591,8645.873,34087881.030998,3930.943153533878,3909.137413887382,3892.5845463898822,3875.1375394595934,3910.9450000000006,,65.3275109170306,65.68860419464846,21.805739646496022,18.8312651562165,2.9744744902795226,3989.4821613012787,3910.9450000000006,3832.4078386987226,50.97285714285714,54349.791065
2025-10-26 08:00:00,3951.57,4054.97,3951.08,4044.99,81774.8231,2025-10-26 11:59:59.999,327001303.989222,716665,44563.5022,178214995.196312,3948.488822220974,3919.2005684142428,3898.561230845181,3876.8276136938266,3921.8549999999996,,70.90153921329102,81.80174256123635,29.288253806731063,20.922662886319415,8.365590920411648,4011.0665676945873,3921.8549999999996,3832.643432305412,54.81214285714285,56727.011105
