open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_volume,taker_buy_quote_volume,ema_10,ema_20,ema_50,sma_30,sma_52,rsi_14,macd,macd_signal,macd_hist,bb_upper,bb_middle,bb_lower,bb_width,bb_position,atr_14,volume_sma_10,volume_ratio,price_change_1w,price_change_4w,price_change_12w,price_change_52w
2017-08-14,301.13,312.18,278.0,299.1,21224.89324,2017-08-20 23:59:59.999,6376472.2941321,14013,17401.6883,5241738.3039857,299.1,299.1,299.1,,,,0.0,0.0,0.0,,,,,,,,,,,,
2017-08-21,299.1,348.13,144.21,348.13,45233.88589,2017-08-27 23:59:59.999,14567413.9774931,42362,17326.14006,5564163.0380473,308.01454545454544,303.76952380952383,301.0227450980392,,,,3.9112250712250898,0.782245014245018,3.1289800569800716,,,,,,,,,16.392510865931122,,,
2017-08-28,348.11,394.39,320.08,341.77,33886.41427,2017-09-03 23:59:59.999,12290734.0894182,35671,11020.64303,4002945.6403621,314.15190082644625,307.38861678004537,302.62067666282195,,,,6.423652405418807,1.910526492479776,4.513125912939031,,,,,,,,,-1.8269037428546797,,,
2017-09-04,339.29,344.55,235.55,293.5,35485.23332,2017-09-10 23:59:59.999,10710999.6628445,33803,17117.15948,5150514.594992,310.39700976709236,306.065891372422,302.2630030682015,,,,4.468276072887704,2.4220764085613617,2.0461996643263425,,,,,,,,,-14.123533370395291,,,
2017-09-11,293.51,316.46,192.0,257.55,58259.63439,2017-09-17 23:59:59.999,14998281.4008156,44796,23594.05524,6122996.358825,300.7884625367119,301.4453302893342,300.50955196748777,,,,0.0175592759145502,1.9411729820319996,-1.9236137061174494,,,,,,,,,-12.248722316865413,-13.891675025075223,,
2017-09-18,257.53,306.22,252.1,282.0,18833.39464,2017-09-24 23:59:59.999,5292294.1590878,23585,7047.51882,1982417.7435665,297.3723784391279,299.5933940713024,299.78368718444904,,,,-1.5192423089039835,1.249089923844803,-2.7683322327487865,,,,,,,,,9.493302271403614,-18.99577743946227,,
2017-09-25,282.0,313.0,274.0,303.95,42726.28598,2017-10-01 23:59:59.999,12635978.1520511,65402,14830.01849,4384666.9661864,298.5683096320137,300.0083089216546,299.94707200074515,,,,-0.9549786809537295,0.8082762028850965,-1.763254883838826,,,,,,,,,7.783687943262407,-11.065921526172573,,
2017-10-02,303.94,318.5,283.18,311.07,25352.7189,2017-10-08 23:59:59.999,7569786.4741921,46739,11285.17558,3372938.1542301,300.84134424437485,301.06180331006846,300.3832652556179,,,,0.06596836294977493,0.6598146348980322,-0.5938462719482572,,,,,,,,,2.3424905412074315,5.986371379897792,,
2017-10-09,311.13,353.96,286.65,337.96,58855.77319,2017-10-15 23:59:59.999,18828903.7321769,49530,27201.92441,8734809.6704768,307.5901907453976,304.57591728053814,301.85686269657407,,,,3.0101750969146224,1.1298867273013502,1.8802883696132722,,,,,,,,,8.64435657569036,31.221122112211198,,
2017-10-16,337.5,354.0,284.68,293.79,62901.0251,2017-10-22 23:59:59.999,19532458.8041082,48976,29058.79994,9043336.4672815,305.0810651553253,303.54868706334406,301.54051513984564,,,,1.759053021281204,1.255719986097321,0.5033330351838832,,,,,,,40275.925892,1.5617524291972644,-13.069594034797005,4.1808510638297935,,
