rank,score,param_key,min_confluence,weighted_threshold,max_risk_per_trade,entry_buffer,avoid_bear_market,return,trades,win_rate,profit_factor,max_drawdown
1,-428.95,3b4d8237,2,0.6,1.5,2.0,True,-100.0,3537,1.1,0.05,100.0
2,-428.95,46ada7d1,2,0.6,1.5,2.0,False,-100.0,3537,1.1,0.05,100.0
3,-428.95,2a3fc66a,2,0.6,2.0,2.0,True,-100.0,3537,1.1,0.05,100.0
4,-428.95,d62376af,2,0.6,2.0,2.0,False,-100.0,3537,1.1,0.05,100.0
5,-428.95,a5ff4f6a,2,0.65,1.5,2.0,True,-100.0,3537,1.1,0.05,100.0
6,-428.95,c212d359,2,0.65,1.5,2.0,False,-100.0,3537,1.1,0.05,100.0
7,-429.05,18abe03d,2,0.6,2.5,2.0,True,-100.0,3537,1.1,0.04,100.0
8,-429.05,be14bc8e,2,0.6,2.5,2.0,False,-100.0,3537,1.1,0.04,100.0
9,-429.45,f567ee27,2,0.6,2.0,3.0,True,-100.0,3537,0.3,0.04,100.0
10,-429.45,21616447,2,0.6,2.0,3.0,False,-100.0,3537,0.3,0.04,100.0
11,-429.45,e0e8ffdb,2,0.6,2.5,3.0,True,-100.0,3537,0.3,0.04,100.0
12,-429.45,9a8a5976,2,0.6,2.5,3.0,False,-100.0,3537,0.3,0.04,100.0
13,-429.55,d6b9ea6a,2,0.6,1.5,3.0,True,-100.0,3537,0.3,0.03,100.0
14,-429.55,15172361,2,0.6,1.5,3.0,False,-100.0,3537,0.3,0.03,100.0
15,-429.95,9d3cab63,2,0.6,1.5,4.0,True,-100.0,3537,0.1,0.0,100.0
16,-429.95,e26b404b,2,0.6,1.5,4.0,False,-100.0,3537,0.1,0.0,100.0
17,-429.95,5fe2a609,2,0.6,2.0,4.0,True,-100.0,3537,0.1,0.0,100.0
18,-429.95,854dd264,2,0.6,2.0,4.0,False,-100.0,3537,0.1,0.0,100.0
19,-429.95,230f4435,2,0.6,2.5,4.0,True,-100.0,3537,0.1,0.0,100.0
20,-429.95,b6250a82,2,0.6,2.5,4.0,False,-100.0,3537,0.1,0.0,100.0
